amostra;estado;frutos;maior_diam;endocarpo1;endocarpo2;endocarpo3;endocarpo4;endocarpo5;;predado1
1;predado;4;21.18;4.085;4.31;4.95;4.83;2.25;;1
1;predado;4;22.2;3.4475;4.15;3.86;3.36;2.42;;1
1;predado;4;27.24;3.825;3.01;4.2;4.08;4.01;;1
1;predado;3;22.87;3.993333333;4.14;4.34;3.5;;;1
1;predado;4;20.7;3.255;3.23;3.39;3.1;3.3;;1
1;predado;3;22.71;3.393333333;2.74;3.65;3.79;;;1
1;predado;3;23.81;3.106666667;1.96;4.56;2.8;;;1
1;predado;3;22.87;3.413333333;3.63;2.84;3.77;;;1
1;predado;3;22.39;3.38;4.08;4.43;1.63;;;1
1;predado;3;22.61;3.886666667;3.85;4.04;3.77;;;1
1;predado;3;23.25;4.053333333;4.05;4.18;3.93;;;1
1;predado;3;21.22;3.08;2;3.54;3.7;;;1
1;predado;3;23.22;3.04;2.28;2.6;4.24;;;1
1;predado;3;19.61;3.03;3.37;3.72;2;;;1
1;predado;4;23.64;3.13;3.75;2.95;2.35;3.47;;1
1;predado;3;22.76;3.303333333;3.89;3.42;2.6;;;1
1;predado;3;19.06;3.54;3.5;4.03;3.09;;;1
1;predado;4;25.6;3.825;3.92;3.43;4.15;3.8;;1
1;predado;4;25.79;3.905;4.35;4.12;4.79;2.36;;1
1;predado;2;23.24;4.39;4.34;4.44;;;;1
1;predado;3;18.19;2.836666667;3.89;1.15;3.47;;;1
1;predado;3;20.91;3.116666667;2.67;2.89;3.79;;;1
1;predado;4;23.63;3.3725;2.7;3.11;3.8;3.88;;1
1;predado;3;21.99;3.386666667;3.5;3.59;3.07;;;1
1;predado;3;20.92;2.463333333;3.85;1.59;1.95;;;1
1;predado;3;22.34;4.133333333;5.7;1.88;4.82;;;1
1;predado;4;20.96;3.725;4.07;4.16;4.01;2.66;;1
1;predado;3;25.44;3.463333333;4.58;3.91;1.9;;;1
1;predado;2;19.54;4.645;4.54;4.75;;;;1
1;predado;3;21.42;3.206666667;4.02;3.55;2.05;;;1
1;predado;4;21.91;3.965;4.23;3.59;4.06;3.98;;1
1;predado;3;21.47;3.903333333;3.3;4.11;4.3;;;1
1;predado;3;21.03;2.73;3.68;2.29;2.22;;;1
1;predado;3;22.31;3.403333333;3.64;3.4;3.17;;;1
1;predado;3;21.69;3.2;4.2;2.2;;;;1
1;predado;3;20.4;3.66;4.28;4.8;1.9;;;1
1;predado;4;24.68;3.63;4.11;2.52;4.26;;;1
1;predado;3;21.24;2.963333333;2.8;3.01;3.08;;;1
1;predado;2;19.03;2.945;3.7;2.19;;;;1
1;predado;3;18.46;3.743333333;4.09;4.06;3.08;;;1
1;predado;3;18.87;3.346666667;2.31;4.03;3.7;;;1
1;predado;3;21.01;3.696666667;4.5;4.04;2.55;;;1
1;predado;2;19.02;6.775;4.4;9.15;;;;1
1;predado;3;19.14;2.75;3.15;1.7;3.4;;;1
1;predado;3;18.69;3.16;3.06;3.34;3.08;;;1
1;predado;3;18.83;2.016666667;1.82;2.37;1.86;;;1
1;predado;3;20.7;3.31;1.88;4.12;3.93;;;1
1;predado;4;20.03;3.4175;3.06;3.44;3.45;3.72;;1
1;predado;4;17.67;2.7675;3.83;3.39;1.65;2.2;;1
1;intacto;5;21.58;3.9125;4.22;3.66;4.03;3.74;;0
1;intacto;4;22.87;4.17;3.25;4.38;5.87;3.18;;0
1;intacto;3;22.01;3.263333333;3.36;3.16;3.27;;;0
